wavelength,water,ponderosa,gypsum,basalt,limestone,sandstone,siltstone,shale
426.82,0.0375529282458374,0.06857895000000003,0.314996044,0.07000098099999999,0.41968,0.1683639250000004,0.23334987999999998,0.062133716000000005
436.99,0.0359827079358764,0.07301497500000002,0.322638018,0.071497648,0.4269,0.17650298499999995,0.24268014000000002,0.063042056
447.17,0.0341888844778115,0.0764022,0.3298942880000001,0.07303080675000001,0.431335,0.18492358666666672,0.25034163000000004,0.06598497100000002
457.34,0.03336293318018,0.07890853333333331,0.336477808,0.07432346299999999,0.4349,0.19415567384615381,0.2555058,0.06866782799999999
467.52,0.03272603702,0.08009737777777776,0.342364512,0.075308956,0.43846999999999997,0.19531206615384591,0.25899846,0.07109440999999997
477.69,0.0312559592192749,0.0806631,0.34784919799999997,0.07620089499999999,0.4427,0.2016975061538461,0.26418084,0.07361073099999998
487.87,0.0290483669783699,0.081316375,0.35345971800000003,0.077112797,0.44535,0.20386973666666666,0.26777062,0.07624260299999999
498.04,0.0255564490799998,0.08574025,0.359689568,0.078120078,0.45204,0.21444491333333335,0.27335378,0.07743006400000009
508.22,0.0216575188589578,0.098201575,0.36673286000000005,0.079243798,0.4561,0.2208082933333334,0.2774616800000001,0.07987281799999996
518.39,0.019267553269349,0.12061322222222254,0.374329686,0.08032320700000001,0.46224000000000004,0.22758290307692308,0.28129125,0.08157423799999991
528.57,0.0181397129612094,0.14624065555555552,0.3822633140000001,0.0813553545,0.4649040000000001,0.23268828615384715,0.28627696999999996,0.084050748
538.74,0.017062448999965,0.15690437499999965,0.39056514400000003,0.0824241085,0.47114999999999996,0.2455364507692308,0.28993284,0.08591807000000004
548.92,0.0159857036332295,0.16225429999999977,0.399168216,0.08355225,0.47724999999999995,0.2562418933333341,0.29340472,0.08821571999999996
559.09,0.0150526916589515,0.1614424875,0.407722302,0.0847150655,0.4804,0.28114284999999967,0.2972821499999999,0.08894291999999991
569.27,0.0142189956660666,0.14593941249999992,0.41586365799999997,0.08576918374999999,0.4859,0.3022363084615384,0.30730561000000006,0.09089500700000003
579.45,0.0132038018363024,0.13355111111111093,0.42322173,0.08670226125,0.4913650000000001,0.32878434461538514,0.3134563000000001,0.09310173499999999
589.62,0.0122118131683924,0.12457406666666665,0.4293995359999999,0.08745859549999999,0.49365000000000003,0.3548631,0.32099908000000005,0.09516021799999999
599.8,0.0114628249441777,0.12077765,0.4342822,0.08806410499999999,0.49374,0.3717301466666666,0.3266987,0.09703269999999996
609.97,0.0111132017053381,0.11453169999999924,0.438013928,0.08860828624999999,0.49555000000000005,0.38116873749999997,0.3323207000000001,0.09877238999999999
620.15,0.0109843834326857,0.10678011250000002,0.44084192999999994,0.0890801025,0.4973,0.39398174500000005,0.33783674999999996,0.10087943500000002
630.32,0.0108916117419,0.10617119999999997,0.443116368,0.089560288,0.49883000000000005,0.4002893615384615,0.34268828,0.10328005999999999
640.5,0.0108141192873406,0.10063180000000017,0.44508140000000007,0.09006242500000002,0.5,0.40577624,0.344611,0.10553129999999997
650.67,0.0107300234753871,0.09110462222222222,0.446910318,0.09062883850000002,0.50148,0.4112075584615373,0.3485528499999999,0.10816200999999999
660.85,0.0106387376645899,0.08487053750000008,0.44866399000000007,0.09123003375,0.505605,0.4166262350000008,0.35139775,0.1099064
671.02,0.0105936663455876,0.0798005,0.45036787600000006,0.09183409000000001,0.50485,0.4232715433333321,0.35393815999999995,0.11328540000000001
681.2,0.010515302332861,0.08252660000000002,0.45203424,0.09239951999999998,0.50847,0.43042234666666623,0.3585639,0.11465380000000001
691.37,0.0104364337022618,0.1071002111111108,0.453661106,0.09291661899999998,0.509,0.43274896,0.36154260000000005,0.11708218999999997
701.55,0.0103313994738444,0.18331221111111118,0.45523050000000004,0.09341180000000002,0.511365,0.44182598692307673,0.36524815,0.12014039999999998
711.72,0.0102478066622199,0.28864814999999955,0.45670774399999997,0.093838963,0.5122,0.44396112307692304,0.36615052000000003,0.11938003999999997
721.9,0.0101515446505597,0.392881200000001,0.45809396,0.0942035775,0.513,0.45207294333333337,0.37122220000000006,0.12243879999999997
732.07,0.0100327698696626,0.49130765000000304,0.45931254199999993,0.09450642425000001,0.5158499999999999,0.4547804433333342,0.37638656000000004,0.12525162000000004
742.25,0.0100084266115976,0.5586543749999995,0.46034099999999994,0.09475433750000001,0.5169,0.45966041999999996,0.38063425,0.1276245
752.43,0.0099542987014019,0.597919,0.461190636,0.09489712699999998,0.516758,0.46563334153846164,0.38308575999999994,0.12867501999999997
762.6,0.0099520807497516,0.6143076000000001,0.46197628,0.09497461,0.51632,0.4673418138461537,0.38764909999999997,0.1309512
772.78,0.0099263705018065,0.616053375,0.462636332,0.09498127999999999,0.5159,0.47170095666666667,0.38993920000000004,0.13349497999999999
782.95,0.0098905272139743,0.6239620374999999,0.46325493,0.09491464499999999,0.5145249999999999,0.4728425641666669,0.39320045,0.13592045
793.13,0.0098601070908147,0.6216862375,0.46376285,0.09493703725,0.5132,0.47201723166666665,0.39478323,0.1381528
803.3,0.009850760919712,0.6281409499999997,0.46416468,0.095005025,0.51275,0.46422262117647073,0.40055251999999997,0.14118847999999998
813.48,0.009841608936758,0.627367599999999,0.46434077600000007,0.095067696,0.512761,0.45785602799999997,0.4029713529411764,0.1429630235294118
823.65,0.0098142637124935,0.6259267666666662,0.46438176999999997,0.09505622125,0.5128,0.45886180749999983,0.4036751875,0.1439964375
833.83,0.009780784743586,0.6253888875,0.464119608,0.09503911925,0.5129915,0.4625794555,0.40294183499999997,0.14510428
